Species;Morphospecies;Large_benthic_foraminifera;Genus;Family;Class;Order ;Phylum
Psammophaga sp1 19298;Psammophaga sp1;SBF;Psammophaga;Saccamminidae;Monothalamea;Astrorhizida;Foraminifera
Amphisorus sp & Amphisorus SpL & Amphisorus SpS;Amphisorus sp. / Amphisorus SpL / Amphisorus SpS;LBF;Amphisorus;Soritidae;Tubothalamea;Miliolida;Foraminifera
Marginopora vertebralis;Marginopora vertebralis;LBF;Marginopora;Soritidae;Tubothalamea;Miliolida;Foraminifera
Parasorites sp.;Parasorites sp.;LBF;Parasorites;Soritidae;Tubothalamea;Miliolida;Foraminifera
Sorites sp1;Sorites sp.1;LBF;Sorites;Soritidae;Tubothalamea;Miliolida;Foraminifera
Sorites sp2;Sorites sp.2;LBF;Sorites;Soritidae;Tubothalamea;Miliolida;Foraminifera
Spiroplectammina sp. 12209;Spiroplectammina sp.;SBF;Spiroplectammina;Spiroplectamminidae;Globothalamea;Lituolida;Foraminifera
Stainforthia sp. 17321;Stainforthia sp.;SBF;Stainforthia;Stainforthiidae;Globothalamea;Rotaliida;Foraminifera
Aschemonella monile 18080;Aschemonella monile;SBF;Aschemonella;Stannomidae;Monothalamea;Xenophyophoroidea;Foraminifera
Textularia gramen 13633;Textularia gramen;SBF;Textularia;Textulariidae;Globothalamea;Textulariida;Foraminifera
Entzia macrescens 13533;Entzia macrescens;SBF;Entzia;Trochamminidae;Globothalamea;Lituolida;Foraminifera
Trochammina hadai 21192;Trochammina hadai;SBF;Trochammina;Trochamminidae;Globothalamea;Lituolida;Foraminifera
Trifarina earlandi & Uvigerina bifurcata;Trifarina earlandi / Uvigerina bifurcata;SBF;Trifarina;Uvigerinidae;Globothalamea;Rotaliida;Foraminifera
Bizarria bryiformis 18256;Bizarria bryiformis ;SBF;Bizarria;Xenophyophoroidea*;Monothalamea;Xenophyophoroidea;Foraminifera
Cribrorotalia sp. 17611;Cribrorotalia sp.;SBF;Cribrorotalia;Notorotaliidae;Globothalamea;Rotaliida;Foraminifera
Cyrea szymborska 17247;Cyrea szymborska;SBF;Cyrea;Textulariana*;Globothalamea;Textulariida;Foraminifera
Nummulites venosus Otu022;Nummulites venosus;LBF;Nummulites;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
Nummulites venosus Otu043;Nummulites venosus;LBF;Nummulites;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
Nummulites venosus Otu026;Nummulites venosus;LBF;Nummulites;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
Nummulites venosus Otu031;Nummulites venosus;LBF;Nummulites;Nummulitidae;Globothalamea;Rotaliida;Foraminifera
;;;;;;;
;;;;;;;
